item_name,braised_beef_used_g,braised_chicken_g,braised_pork_g,egg_count,rice_g,ramen_count,rice_noodles_g,chicken_thigh_pcs,chicken_wings_pcs,flour_g,pickle_cabbage,green_onion,cilantro,white_onion,peas_g,carrot_g,boychoy_g,tapioca_starch
Beef Tossed Ramen,140,,,0.5,,1,,,,,50,20,20,,,,50,
Beef Ramen,140,,,0.5,,1,,,,,,20,20,,,,,
Beef Fried Rice,100,,,1,350,,,,,,,20,,20,10,10,,
Pork Fried Rice,,,100,1,350,,,,,,,20,,20,10,10,,
Chicken Fried Rice,,100,,1,350,,,,,,,20,,20,10,10,,
Fried Wings,,,,,,,,,8,50,,,,,,,,
Pork Tossed Ramen,,,140,0.5,,1,,,,,50,20,20,,,,,
Pork Ramen,,,140,0.5,,1,,,,,,20,20,,,,50,
Chicken Tossed Ramen,,140,,0.5,,1,,,,,50,20,20,,,,,
Chicken Ramen,,140,,0.5,,1,,,,,,20,20,,,,50,
Chicken Cutlet,,,,0.5,,,,1,,,,,,,,,,60
Beef Tossed Rice Noodles,140,,,0.5,,,300,,,,50,20,20,,,,,
Pork Tossed Rice Noodles,,,140,0.5,,,300,,,,50,20,20,,,,,
Chicken Tossed Rice Noodles,,140,,0.5,,,300,,,,50,20,20,,,,,
Beef Rice Noodle Soup,140,,,0.5,,,300,,,,,20,20,,,,50,
Pork Rice Noodle Soup,,,140,0.5,,,300,,,,,20,20,,,,50,
Chicken Rice Noodle Soup,,140,,0.5,,,300,,,,,20,20,,,,50,